iter	Passed	Remaining
0	15	4565
1	35	5221
2	51	5074
3	63	4726
4	139	8209
5	159	7805
6	170	7143
7	185	6773
8	205	6632
9	214	621710	283	7450
11	307	7384
12	346	7640
13	361	7389
14	381	7250
15	444	7890
16	465	7745
17	492	7712
18	514	7616
19	542	7591
20	562	7479
21	588	7438
22	599	7224
23	631	7267
24	651	7169
25	688	7251
26	702	7106
27	718	6981
28	741	6927
29	762	6863
30	798	6924
31	817	6847
32	830	6716
33	852	6671
34	875	6627
35	909	6672
36	925	6575
37	953	6574
38	969	6487
39	998	6493
40	1032	6520
41	1048	6442
42	1058	6324
43	1080	6287
44	1116	6325
45	1139	6290
46	1148	6181
47	1167	6129
48	1193	6116
49	1214	6074
50	1224	5977
51	1284	6127
52	1301	6063
53	1322	6023
54	1350	6014
55	1366	5952
56	1390	5928
57	1418	5919
58	1438	5874
59	1448	5793
60	1482	5809
61	1496	5744
62	1526	5742
63	1543	5692
64	1554	5620
65	1616	5732
66	1652	5746
67	1661	5670
68	1678	5618
69	1710	5620
70	1729	5579
71	1740	5510
72	1768	5500
73	1790	5468
74	1816	5449
75	1829	5392
76	1849	5357
77	1881	5354
78	1914	5355
79	1958	5385
80	1981	5356
81	1999	5314
82	2026	5297
83	2035	5234
84	2076	5251
85	2088	5195
86	2101	5146
87	2128	5127
88	2152	5103
89	2186	5102
90	2196	5044
91	2228	5039
92	2259	5028
93	2271	4978
94	2308	4981
95	2330	4952
96	2355	4930
97	2368	4882
98	2390	4853
99	2422	4844
100	2463	4854
101	2474	4802
102	2476	4737
103	2505	4721
104	2524	4688
105	2535	4640
106	2567	4630
107	2610	4640
108	2640	4626
109	2650	4577
110	2662	4533
111	2679	4497
112	2687	4448
113	2717	4433
114	2739	4406
115	2772	4397
116	2781	4350
117	2803	4324
118	2817	4285
119	2837	4256
120	2858	4228
121	2888	4214
122	2909	4186
123	2943	4178
124	2963	4148
125	2975	4109
126	3005	4094
127	3026	4067
128	3052	4046
129	3081	4029
130	3098	3997
131	3122	3973
132	3143	3946
133	3174	3932
134	3193	3902
135	3208	3868
136	3223	3835
137	3238	3801
138	3293	3815
139	3311	3784
140	3338	3764
141	3348	3725
142	3356	3685
143	3400	3684
144	3445	3682
145	3509	3701
146	3582	3729
147	3593	3690
148	3639	3688
149	3668	3668
150	3710	3661
151	3720	3622
152	3749	3602
153	3795	3598
154	3850	3601
155	3871	3573
156	3910	3561
157	4011	3605
158	4046	3588
159	4060	3553
160	4152	3585
161	4221	3595
162	4266	3586
163	4278	3547
164	4340	3551
165	4357	3517
166	4426	3525
167	4447	3494
168	4483	3475
169	4516	3454
170	4526	3415
171	4536	3375
172	4614	3387
173	4664	3377
174	4709	3364
175	4733	3334
176	4742	3295
177	4788	3281
178	4819	3257
179	4861	3241
180	4892	3216
181	4946	3206
182	4956	3169
183	4981	3140
184	5047	3137
185	5070	3107
186	5114	3090
187	5149	3067
188	5207	3058
189	5233	3030
190	5255	2999
191	5303	2983
192	5331	2955
193	5348	2922
194	5360	2886
195	5440	2886
196	5454	2852
197	5512	2839
198	5548	2816
199	5570	2785
200	5582	2749
201	5656	2744
202	5704	2725
203	5747	2704
204	5760	2669
205	5789	2641
206	5822	2616
207	5868	2595
208	5887	2563
209	5956	2552
210	6006	2533
211	6121	2540
212	6145	2510
213	6166	2478
214	6178	2442
215	6262	2435
216	6291	2406
217	6402	2408
218	6417	2373
219	6509	2366
220	6519	2330
221	6641	2333
222	6688	2309
223	6793	2304
224	6802	2267
225	6890	2256
226	6976	2243
227	7101	2242
228	7112	2205
229	7121	2167
230	7152	2136
231	7169	2101
232	7282	2094
233	7294	2057
234	7390	2044
235	7467	2024
236	7548	2006
237	7589	1977
238	7607	1941
239	7665	1916
240	7681	1880
241	7809	1871
242	7867	1845
243	7889	1810
244	7908	1775
245	8031	1763
246	8044	1726
247	8135	1705
248	8226	1684
249	8284	1656
250	8363	1632
251	8434	1606
252	8441	1568
253	8448	1530
254	8511	1501
255	8569	1472
256	8663	1449
257	8683	1413
258	8757	1386
259	8869	1364
260	8940	1335
261	8951	1298
262	9074	1276
263	9115	1242
264	9127	1205
265	9251	1182
266	9297	1149
267	9312	1111
268	9332	1075
269	9352	1039
270	9408	1006
271	9457	973
272	9500	939
273	9536	904
274	9625	875
275	9638	838
276	9749	809
277	9793	775
278	9807	738
279	9813	700
280	9892	668
281	9909	632
282	10008	601
283	10025	564
284	10034	528
285	10040	491
286	10045	455
287	10067	419
288	10117	385
289	10122	349
290	10127	313
291	10301	282
292	10315	246
293	10345	211
294	10365	175
295	10427	140
296	10432	105
297	10437	70
298	10473	35
299	10654	0
06	0
298	10441	34
299	10478	0
